exam_center,CENTRE CATEGORY,CENTRE POSITION IN ITS CATEGORY(NATIONWISE),CENTRE POSITION IN ITS CATEGORY(REGIONWISE),EXAMINATION CENTRE GPA,EXAMINATION CENTRE REGION,TOTAL PASSED CANDIDATES,REGIST,ABSENT,SAT,WITHHELD,NO-CA,CLEAN,DIV I,DIV II,DIV III,DIV IV,DIV 0
S1019 KISANGURA,CENTRE WITH 40 CANDIDATES OR MORE,2306/3488,95/157,4.1701,MARA,56,86,4,82,0,0,82,1,4,12,39,26
S1020 MACHOCHWE,CENTRE WITH 40 CANDIDATES OR MORE,2390/3488,100/157,4.1881,MARA,47,63,0,63,0,0,63,1,2,9,35,16
S1021 RING'WANI,CENTRE WITH 40 CANDIDATES OR MORE,3080/3488,139/157,4.3618,MARA,32,63,7,56,0,0,56,0,3,3,26,24
S1022 KAMBANGWA,CENTRE WITH 40 CANDIDATES OR MORE,2731/3488,176/239,4.2657,DAR ES SALAAM,170,239,1,238,0,0,238,0,5,31,134,68
S1023 NALIENDELE,CENTRE WITH 40 CANDIDATES OR MORE,1275/3488,21/99,3.9234,MTWARA,40,49,2,47,0,0,47,1,3,11,25,7
S1025 INTELA,CENTRE WITH 40 CANDIDATES OR MORE,2849/3488,91/117,4.2925,DODOMA,48,68,2,66,0,0,66,0,1,11,36,18
S1026 PUMA,CENTRE WITH 40 CANDIDATES OR MORE,1437/3488,37/98,3.9773,SINGIDA,89,112,2,110,0,0,110,3,8,20,58,21
S1027 CHAMWINO,CENTRE WITH 40 CANDIDATES OR MORE,2014/3488,57/117,4.1060,DODOMA,89,130,1,129,0,0,129,3,8,18,60,40
S1028 BUTUNDWE,CENTRE WITH 40 CANDIDATES OR MORE,1366/3488,43/95,3.9555,GEITA,59,75,1,74,0,0,74,3,5,13,38,15
S1029 NASSA,CENTRE WITH 40 CANDIDATES OR MORE,1136/3488,34/70,3.8782,SIMIYU,100,131,5,126,0,0,126,3,21,17,59,26
S1030 IZIMBYA,CENTRE WITH 40 CANDIDATES OR MORE,3393/3488,198/200,4.5115,KAGERA,33,64,0,64,0,0,64,0,1,2,30,31
S1031 MARUKU,CENTRE WITH 40 CANDIDATES OR MORE,2631/3488,165/200,4.2418,KAGERA,85,127,4,123,0,0,123,0,7,9,69,38
S1032 ITIGI,CENTRE WITH 40 CANDIDATES OR MORE,819/3488,15/98,3.7352,SINGIDA,76,89,4,85,0,0,85,1,13,23,39,9
S1033 AMANI ABEID KARUME,CENTRE WITH 40 CANDIDATES OR MORE,2421/3488,70/117,4.1943,DODOMA,61,81,1,80,0,0,80,0,7,7,47,19
S1034 ITILIMA,CENTRE WITH 40 CANDIDATES OR MORE,816/3488,23/70,3.7338,SIMIYU,79,96,0,96,0,0,96,2,15,24,38,17
S1035 KWEDIBOMA,CENTRE WITH 40 CANDIDATES OR MORE,3486/3488,188/188,4.7654,TANGA,24,102,3,99,0,0,99,0,0,5,19,75
S1036 LUBANDA,CENTRE WITH 40 CANDIDATES OR MORE,3264/3488,70/70,4.4333,SONGWE,36,58,1,57,0,0,57,0,0,2,34,21
S1037 AYA,CENTRE WITH 40 CANDIDATES OR MORE,489/3488,11/117,3.3355,DODOMA,54,55,0,55,0,0,55,1,18,18,17,1
S1038 J.K. NYERERE,CENTRE WITH 40 CANDIDATES OR MORE,2091/3488,171/270,4.1218,KILIMANJARO,182,239,0,239,0,0,239,2,13,32,135,57
S1039 GITTING,CENTRE WITH 40 CANDIDATES OR MORE,996/3488,35/98,3.8275,MANYARA,39,43,1,42,0,0,42,1,5,8,25,3
S1041 LONGOI,CENTRE WITH 40 CANDIDATES OR MORE,2024/3488,167/270,4.1081,KILIMANJARO,78,104,2,102,0,0,102,1,3,19,55,24
S1042 MUNGAA,CENTRE WITH 40 CANDIDATES OR MORE,1091/3488,26/98,3.8608,SINGIDA,96,108,2,106,0,0,106,3,9,19,65,10
S1043 TUKUYU,CENTRE WITH 40 CANDIDATES OR MORE,360/3488,17/174,3.1279,MBEYA,83,86,1,85,0,0,85,7,29,25,22,2
S1045 DAR-ES-SALAAM,CENTRE WITH 40 CANDIDATES OR MORE,390/3488,46/239,3.1815,DAR ES SALAAM,194,206,0,206,0,0,206,16,71,53,54,12
S1046 TUMBATU,CENTRE WITH 40 CANDIDATES OR MORE,2857/3488,4/20,4.2939,KASKAZINI UNGUJA,78,113,4,109,0,0,109,0,4,13,61,31
S1047 MPAPA,CENTRE WITH 40 CANDIDATES OR MORE,2915/3488,3/20,4.3088,KUSINI UNGUJA,44,50,0,50,0,0,50,0,0,3,41,6
S1048 MWANAKWEREKWE,CENTRE WITH 40 CANDIDATES OR MORE,1997/3488,26/57,4.1028,MJINI MAGHARIBI,158,182,1,181,0,0,181,0,8,28,122,23
S1049 ST.THOMAS AQUINAS',CENTRE WITH 40 CANDIDATES OR MORE,182/3488,8/98,2.6024,TABORA,147,147,0,147,0,0,147,28,79,36,4,0
S1051 MKOLANI,CENTRE WITH 40 CANDIDATES OR MORE,2553/3488,195/241,4.2261,MWANZA,141,229,5,224,0,0,224,0,13,29,99,83
S1052 IBUNGILA,CENTRE WITH 40 CANDIDATES OR MORE,654/3488,33/174,3.5921,MBEYA,149,167,6,161,1,0,160,1,32,53,63,11
S1053 RAFSANJANI-SOGA,CENTRE WITH 40 CANDIDATES OR MORE,2281/3488,65/115,4.1628,PWANI,99,132,0,132,0,0,132,2,6,11,80,33
S1054 NYAMIREMBE,CENTRE WITH 40 CANDIDATES OR MORE,1567/3488,51/95,4.0121,GEITA,65,82,0,82,0,0,82,2,7,11,45,17
S1055 SOUTHERN HIGHLANDS,CENTRE WITH 40 CANDIDATES OR MORE,931/3488,57/174,3.7948,MBEYA,132,155,3,152,0,0,152,0,19,41,72,20
S1056 BANGALALA,CENTRE WITH 40 CANDIDATES OR MORE,1939/3488,159/270,4.0916,KILIMANJARO,34,44,0,44,0,0,44,0,1,11,22,10
S1060 ST.MARY'S,CENTRE WITH 40 CANDIDATES OR MORE,1127/3488,99/239,3.8756,DAR ES SALAAM,86,93,0,93,0,0,93,2,4,21,59,7
S1061 MAKIBA,CENTRE WITH 40 CANDIDATES OR MORE,3180/3488,166/173,4.3953,ARUSHA,33,57,1,56,0,0,56,0,0,7,26,23
S1062 MALENGA,CENTRE WITH 40 CANDIDATES OR MORE,1404/3488,93/174,3.9684,MBEYA,141,188,8,180,0,0,180,3,20,29,89,39
S1063 MULBADAW,CENTRE WITH 40 CANDIDATES OR MORE,999/3488,37/98,3.8296,MANYARA,104,119,1,118,0,0,118,0,19,27,58,14
S1064 SUNNI MADRESSA,CENTRE WITH 40 CANDIDATES OR MORE,611/3488,17/57,3.5351,MJINI MAGHARIBI,76,76,0,76,0,0,76,2,14,23,37,0
S1065 MWEMA,CENTRE WITH 40 CANDIDATES OR MORE,3156/3488,147/157,4.3839,MARA,40,73,1,72,0,0,72,0,1,9,30,32
S1066 NTUZU,CENTRE WITH LESS THAN 40 CANDIDATES,417/1371,47/81,3.8219,SIMIYU,19,22,1,21,0,0,21,1,0,6,12,2
S1067 BISHOP ALPHA MEMORIAL HIGH SCHOOL,CENTRE WITH 40 CANDIDATES OR MORE,1261/3488,99/270,3.9207,KILIMANJARO,38,46,0,46,0,0,46,0,6,10,22,8
S1068 NASIBUGANI,CENTRE WITH LESS THAN 40 CANDIDATES,985/1371,32/47,4.2154,PWANI,6,9,1,8,0,0,8,0,1,0,5,2
S1069 MLANGALI,CENTRE WITH 40 CANDIDATES OR MORE,2989/3488,61/70,4.3308,SONGWE,43,68,4,64,0,0,64,0,1,5,37,21
S1070 CHAANGAJA CLEOPA MSUYA,CENTRE WITH 40 CANDIDATES OR MORE,3109/3488,250/270,4.3709,KILIMANJARO,58,91,0,91,0,0,91,0,3,5,50,33
S1072 KAMENE,CENTRE WITH 40 CANDIDATES OR MORE,1033/3488,91/239,3.8430,DAR ES SALAAM,84,92,0,92,0,0,92,1,7,22,54,8
S1073 NYANUNGU,CENTRE WITH 40 CANDIDATES OR MORE,627/3488,18/157,3.5645,MARA,42,53,4,49,0,0,49,3,10,10,19,7
S1074 KITANGIRI,CENTRE WITH 40 CANDIDATES OR MORE,1178/3488,81/241,3.8949,MWANZA,130,158,3,155,0,0,155,2,19,25,84,25
S1075 DARAJANI,CENTRE WITH 40 CANDIDATES OR MORE,545/3488,61/270,3.4216,KILIMANJARO,111,120,2,118,0,0,118,10,24,25,52,7
S1076 MBUNGA,CENTRE WITH 40 CANDIDATES OR MORE,2749/3488,86/115,4.2701,RUVUMA,46,59,1,58,0,0,58,0,1,5,40,12
S1077 OCEAN,CENTRE WITH 40 CANDIDATES OR MORE,3223/3488,86/99,4.4150,MTWARA,22,46,1,45,1,0,44,0,1,8,13,22
S1078 NUR ISLAMIC SEMINARY,CENTRE WITH 40 CANDIDATES OR MORE,1090/3488,95/239,3.8606,DAR ES SALAAM,65,71,1,70,0,0,70,0,8,14,43,5
S1079 CHIKUYU,CENTRE WITH 40 CANDIDATES OR MORE,3284/3488,97/98,4.4421,SINGIDA,24,43,0,43,0,0,43,0,1,2,21,19
S1080 MUHEZA MUSLIM,CENTRE WITH 40 CANDIDATES OR MORE,581/3488,19/188,3.4701,TANGA,180,186,0,186,0,0,186,5,36,65,74,6
S1082 MTII,CENTRE WITH 40 CANDIDATES OR MORE,2952/3488,234/270,4.3182,KILIMANJARO,25,41,0,41,0,0,41,0,2,4,19,16
S1083 BUMBULI,CENTRE WITH 40 CANDIDATES OR MORE,2371/3488,93/188,4.1841,TANGA,90,108,2,106,0,0,106,0,4,8,78,16
S1084 VUMA,CENTRE WITH 40 CANDIDATES OR MORE,1936/3488,36/51,4.0912,RUKWA,40,58,4,54,1,0,53,0,6,5,29,13
S1085 LAUREATE INTERNATIONAL SCHOOL,CENTRE WITH 40 CANDIDATES OR MORE,161/3488,2/57,2.5425,MJINI MAGHARIBI,48,48,0,48,0,0,48,14,17,15,2,0
S1086 LUDEWA,CENTRE WITH 40 CANDIDATES OR MORE,1097/3488,29/89,3.8638,NJOMBE,41,46,1,45,0,0,45,0,6,10,25,4
S1088 TUMBI,CENTRE WITH 40 CANDIDATES OR MORE,681/3488,34/115,3.6141,PWANI,125,137,0,137,0,0,137,8,19,32,66,12
S1089 KILIMATINDE,CENTRE WITH 40 CANDIDATES OR MORE,2188/3488,65/98,4.1420,SINGIDA,40,65,2,63,0,0,63,1,4,11,24,23
S1090 CHALA,CENTRE WITH 40 CANDIDATES OR MORE,1529/3488,26/51,4.0015,RUKWA,80,99,2,97,0,0,97,2,3,17,58,17
S1091 BUNGURERE,CENTRE WITH 40 CANDIDATES OR MORE,2597/3488,118/157,4.2343,MARA,49,72,2,70,0,0,70,1,1,10,37,21
S1092 KWEMARAMBA,CENTRE WITH 40 CANDIDATES OR MORE,3291/3488,153/188,4.4483,TANGA,34,81,0,81,0,0,81,2,3,5,24,47
S1093 ALDERSGATE,CENTRE WITH 40 CANDIDATES OR MORE,271/3488,4/98,2.9179,MANYARA,127,127,0,127,0,0,127,14,47,51,15,0
S1094 JIHAD,CENTRE WITH 40 CANDIDATES OR MORE,948/3488,43/113,3.8049,KIGOMA,84,98,2,96,0,0,96,3,11,23,47,12
S1095 WOTTA,CENTRE WITH 40 CANDIDATES OR MORE,3346/3488,110/117,4.4809,DODOMA,45,90,1,89,0,0,89,0,2,7,36,44
S1096 MITUNDU,CENTRE WITH 40 CANDIDATES OR MORE,1969/3488,54/98,4.0970,SINGIDA,55,70,2,68,0,0,68,1,5,6,43,13
S1097 NSHUPU,CENTRE WITH 40 CANDIDATES OR MORE,1148/3488,70/173,3.8831,ARUSHA,76,85,3,82,0,0,82,0,9,17,50,6
S1098 MAJI YA CHAI,CENTRE WITH 40 CANDIDATES OR MORE,1278/3488,80/173,3.9262,ARUSHA,85,105,2,103,0,0,103,2,9,19,55,18
S1099 NYEHUNGE,CENTRE WITH 40 CANDIDATES OR MORE,1340/3488,91/241,3.9473,MWANZA,119,149,8,141,0,0,141,2,6,33,78,22
S1100 RUIWA,CENTRE WITH 40 CANDIDATES OR MORE,1851/3488,123/174,4.0738,MBEYA,55,75,2,73,0,0,73,1,6,11,37,18
S1101 LUAGALA,CENTRE WITH 40 CANDIDATES OR MORE,3419/3488,98/99,4.5469,MTWARA,31,81,1,80,0,0,80,0,2,5,24,49
S1102 MAHUTA T D F,CENTRE WITH 40 CANDIDATES OR MORE,3118/3488,81/99,4.3739,MTWARA,47,75,1,74,0,0,74,0,2,5,40,27
S1103 BUSONGO,CENTRE WITH 40 CANDIDATES OR MORE,1679/3488,111/241,4.0337,MWANZA,49,71,0,71,0,0,71,0,9,11,29,22
S1104 IDODI,CENTRE WITH 40 CANDIDATES OR MORE,969/3488,35/130,3.8154,IRINGA,160,171,0,171,0,0,171,0,14,46,100,11
S1105 SUBA,CENTRE WITH LESS THAN 40 CANDIDATES,619/1371,21/36,3.9673,MARA,27,37,0,37,0,0,37,1,3,8,15,10
S1106 KIKARO,CENTRE WITH 40 CANDIDATES OR MORE,2385/3488,68/115,4.1864,PWANI,75,109,2,107,0,0,107,1,6,10,58,32
S1107 MWAMASHIMBA,CENTRE WITH 40 CANDIDATES OR MORE,1945/3488,139/241,4.0924,MWANZA,29,48,2,46,0,0,46,0,6,8,15,17
S1108 MYAMBA,CENTRE WITH 40 CANDIDATES OR MORE,3443/3488,268/270,4.5800,KILIMANJARO,47,120,2,118,0,0,118,0,1,9,37,71
S1109 ST.DORCAS SEMINARY,CENTRE WITH LESS THAN 40 CANDIDATES,57/1371,3/46,2.8690,KILIMANJARO,28,28,0,28,0,0,28,2,15,8,3,0
S1110 KALOLENI,CENTRE WITH 40 CANDIDATES OR MORE,1299/3488,87/173,3.9324,ARUSHA,192,248,8,240,1,0,239,1,28,46,117,47
S1111 MASHINGIA,CENTRE WITH 40 CANDIDATES OR MORE,2871/3488,226/270,4.2983,KILIMANJARO,66,111,0,111,0,0,111,0,1,22,43,45
S1113 CHANJAGAA,CENTRE WITH LESS THAN 40 CANDIDATES,1042/1371,34/46,4.2512,KILIMANJARO,26,37,1,36,0,0,36,0,0,6,20,10
S1114 SHELUI,CENTRE WITH 40 CANDIDATES OR MORE,1825/3488,46/98,4.0680,SINGIDA,84,100,2,98,0,0,98,0,7,12,65,14
S1115 BUKANDWE,CENTRE WITH 40 CANDIDATES OR MORE,2609/3488,198/241,4.2377,MWANZA,75,124,6,118,0,0,118,0,12,8,55,43
S1116 MTIPE,CENTRE WITH 40 CANDIDATES OR MORE,1038/3488,12/51,3.8445,RUKWA,41,42,0,42,0,0,42,0,4,10,27,1
S1117 DABALO,CENTRE WITH 40 CANDIDATES OR MORE,2226/3488,61/117,4.1490,DODOMA,32,46,2,44,0,0,44,1,1,4,26,12
S1118 MLONGWEMA,CENTRE WITH 40 CANDIDATES OR MORE,3453/3488,181/188,4.5917,TANGA,16,46,0,46,0,0,46,0,1,2,13,30
S1119 ZANZIBAR COMMERCIAL,CENTRE WITH 40 CANDIDATES OR MORE,438/3488,9/57,3.2627,MJINI MAGHARIBI,101,101,0,101,0,0,101,3,29,45,24,0
S1120 MOITA,CENTRE WITH 40 CANDIDATES OR MORE,354/3488,23/173,3.1153,ARUSHA,122,125,2,123,0,0,123,11,38,36,37,1
S1121 MAWELLA,CENTRE WITH 40 CANDIDATES OR MORE,2307/3488,186/270,4.1703,KILIMANJARO,69,97,6,91,0,0,91,1,2,18,48,22
S1122 CHIKANAMLILO,CENTRE WITH 40 CANDIDATES OR MORE,880/3488,20/70,3.7695,SONGWE,47,57,4,53,0,0,53,1,9,10,27,6
S1123 MZENGA,CENTRE WITH 40 CANDIDATES OR MORE,2869/3488,80/115,4.2974,PWANI,65,87,0,87,0,0,87,0,1,9,55,22
S1124 KIGARAMA,CENTRE WITH 40 CANDIDATES OR MORE,3105/3488,186/200,4.3703,KAGERA,44,76,2,74,0,0,74,0,4,2,38,30
S1125 ENYOITO,CENTRE WITH 40 CANDIDATES OR MORE,2942/3488,160/173,4.3166,ARUSHA,148,246,2,244,0,0,244,0,10,26,112,96
S1126 MINZIRO,CENTRE WITH 40 CANDIDATES OR MORE,3332/3488,196/200,4.4745,KAGERA,44,73,0,73,0,0,73,0,0,4,40,29
S1127 BUGANDO,CENTRE WITH 40 CANDIDATES OR MORE,2768/3488,85/95,4.2739,GEITA,52,84,1,83,0,0,83,0,3,10,39,31
S1128 IMALILO,CENTRE WITH 40 CANDIDATES OR MORE,1183/3488,82/241,3.8962,MWANZA,47,55,0,55,0,0,55,0,7,12,28,8
S1129 IGUGUNO,CENTRE WITH 40 CANDIDATES OR MORE,1902/3488,51/98,4.0843,SINGIDA,109,152,2,150,0,0,150,1,13,20,75,41
S1130 KIZAGA,CENTRE WITH 40 CANDIDATES OR MORE,985/3488,22/98,3.8220,SINGIDA,75,83,1,82,0,0,82,1,9,17,48,7
S1131 ITOBO,CENTRE WITH LESS THAN 40 CANDIDATES,1154/1371,72/75,4.3321,TABORA,22,35,0,35,0,0,35,0,2,2,18,13
S1132 SIMANJIRO,CENTRE WITH 40 CANDIDATES OR MORE,1692/3488,79/98,4.0367,MANYARA,68,89,0,89,0,0,89,0,8,14,46,21
S1133 BOMBO,CENTRE WITH 40 CANDIDATES OR MORE,2894/3488,228/270,4.3050,KILIMANJARO,44,78,0,78,0,0,78,0,5,7,32,34
S1134 OLE,CENTRE WITH 40 CANDIDATES OR MORE,3317/3488,20/29,4.4646,KUSINI PEMBA,45,69,0,69,0,0,69,0,0,3,42,24
S1135 MSANGANO,CENTRE WITH LESS THAN 40 CANDIDATES,1064/1371,23/36,4.2691,SONGWE,27,37,1,36,0,0,36,0,0,3,24,9
S1136 KASANGEZI,CENTRE WITH 40 CANDIDATES OR MORE,838/3488,37/113,3.7467,KIGOMA,71,79,0,79,0,0,79,2,11,21,37,8
S1137 ITANDULA,CENTRE WITH 40 CANDIDATES OR MORE,1380/3488,53/130,3.9615,IRINGA,106,112,1,111,0,0,111,2,8,15,81,5
S1139 SOYA,CENTRE WITH 40 CANDIDATES OR MORE,3471/3488,117/117,4.6542,DODOMA,28,83,2,81,0,0,81,0,0,5,23,53
S1140 MWALIMU NYERERE,CENTRE WITH 40 CANDIDATES OR MORE,1436/3488,60/108,3.9771,SHINYANGA,281,351,8,343,0,0,343,5,29,62,185,62
S1141 SWILLA,CENTRE WITH 40 CANDIDATES OR MORE,202/3488,10/174,2.6830,MBEYA,137,137,0,137,0,0,137,20,60,52,5,0
S1142 MKINDO,CENTRE WITH LESS THAN 40 CANDIDATES,331/1371,20/75,3.7126,TABORA,17,18,0,18,0,0,18,1,2,4,10,1
S1143 BUTIMBA DAY,CENTRE WITH 40 CANDIDATES OR MORE,2534/3488,193/241,4.2202,MWANZA,92,122,1,121,0,0,121,0,2,17,73,29
S1144 ISIMILA,CENTRE WITH 40 CANDIDATES OR MORE,3119/3488,127/130,4.3741,IRINGA,116,170,4,166,0,0,166,0,2,14,100,50
S1146 ISANSA,CENTRE WITH LESS THAN 40 CANDIDATES,288/1371,4/36,3.6560,SONGWE,16,17,0,17,0,0,17,0,3,7,6,1
S1147 SINON,CENTRE WITH 40 CANDIDATES OR MORE,1312/3488,88/173,3.9386,ARUSHA,242,321,3,318,0,0,318,11,41,36,154,76
S1148 MADIBIRA,CENTRE WITH 40 CANDIDATES OR MORE,1797/3488,118/174,4.0609,MBEYA,114,140,0,140,0,0,140,0,6,23,85,26
S1149 CHOLE,CENTRE WITH 40 CANDIDATES OR MORE,3026/3488,90/115,4.3438,PWANI,33,52,1,51,0,0,51,0,2,3,28,18
S1150 MUUNGANO,CENTRE WITH 40 CANDIDATES OR MORE,1105/3488,92/270,3.8666,KILIMANJARO,121,141,0,141,0,0,141,2,18,30,71,20
S1152 SUMAYE BUZIKU,CENTRE WITH 40 CANDIDATES OR MORE,1453/3488,47/95,3.9825,GEITA,83,107,0,107,1,0,106,1,10,20,52,23
S1153 BUSERESERE,CENTRE WITH 40 CANDIDATES OR MORE,2465/3488,76/95,4.2028,GEITA,168,276,5,271,0,0,271,5,16,42,105,103
S1154 MNAZI,CENTRE WITH 40 CANDIDATES OR MORE,3285/3488,152/188,4.4430,TANGA,36,53,0,53,0,0,53,0,0,2,34,17
S1155 SONGA,CENTRE WITH 40 CANDIDATES OR MORE,3208/3488,146/188,4.4059,TANGA,59,116,2,114,0,0,114,0,2,15,42,55
S1157 IWAWA,CENTRE WITH 40 CANDIDATES OR MORE,1715/3488,52/89,4.0407,NJOMBE,106,134,5,129,0,0,129,0,8,21,77,23
S1158 LUGARAWA,CENTRE WITH 40 CANDIDATES OR MORE,2719/3488,78/89,4.2641,NJOMBE,71,95,2,93,0,0,93,0,2,10,59,22
S1159 EMBARWAY,CENTRE WITH 40 CANDIDATES OR MORE,850/3488,48/173,3.7525,ARUSHA,142,151,3,148,0,0,148,2,13,37,90,6
S1160 MUYENZI,CENTRE WITH 40 CANDIDATES OR MORE,1215/3488,73/200,3.9077,KAGERA,63,73,0,73,0,0,73,1,5,16,41,10
S1161 MAWELEWELE,CENTRE WITH 40 CANDIDATES OR MORE,2064/3488,87/130,4.1169,IRINGA,116,159,1,158,0,0,158,2,6,28,80,42
S1162 IGURUBI,CENTRE WITH 40 CANDIDATES OR MORE,805/3488,23/98,3.7287,TABORA,45,51,0,51,0,0,51,0,8,10,27,6
S1163 UJENZI,CENTRE WITH 40 CANDIDATES OR MORE,463/3488,27/115,3.3071,PWANI,150,151,1,150,0,0,150,14,23,64,49,0
S1164 MISSUNGWI,CENTRE WITH 40 CANDIDATES OR MORE,1767/3488,123/241,4.0526,MWANZA,187,250,4,246,0,0,246,3,20,35,129,59
S1165 BANGALA LUTHERAN JUNIOR SEMINARY,CENTRE WITH 40 CANDIDATES OR MORE,610/3488,21/188,3.5333,TANGA,54,55,0,55,0,0,55,0,11,21,22,1
S1166 MLIMBA DAY,CENTRE WITH 40 CANDIDATES OR MORE,1414/3488,58/159,3.9717,MOROGORO,130,135,0,135,0,0,135,2,4,16,108,5
S1167 KWAMKONO,CENTRE WITH 40 CANDIDATES OR MORE,2772/3488,117/188,4.2749,TANGA,44,77,2,75,0,0,75,0,5,12,27,31
S1168 MKUYUNI,CENTRE WITH 40 CANDIDATES OR MORE,3029/3488,135/159,4.3447,MOROGORO,44,76,0,76,0,0,76,0,3,10,31,32
S1169 KWABUTU,CENTRE WITH 40 CANDIDATES OR MORE,2974/3488,130/188,4.3267,TANGA,63,104,8,96,0,0,96,0,3,7,53,33
S1170 NDIJANI,CENTRE WITH 40 CANDIDATES OR MORE,3215/3488,9/20,4.4081,KUSINI UNGUJA,46,64,1,63,0,0,63,0,1,2,43,17
S1171 BUBUBU,CENTRE WITH 40 CANDIDATES OR MORE,3391/3488,51/57,4.5113,MJINI MAGHARIBI,259,477,30,447,0,0,447,0,1,17,241,188
S1172 NIANJEMA,CENTRE WITH 40 CANDIDATES OR MORE,702/3488,36/115,3.6462,PWANI,37,40,0,40,0,0,40,1,5,13,18,3
S1173 MGUGU,CENTRE WITH 40 CANDIDATES OR MORE,421/3488,23/159,3.2180,MOROGORO,81,87,1,86,0,0,86,10,25,16,30,5
S1174 COASTAL,CENTRE WITH LESS THAN 40 CANDIDATES,144/1371,5/92,3.3092,TANGA,18,18,0,18,0,0,18,1,4,5,8,0
S1175 HANETI,CENTRE WITH LESS THAN 40 CANDIDATES,888/1371,56/94,4.1628,DODOMA,25,36,0,36,0,0,36,1,1,5,18,11
S1176 BUSOLWA,CENTRE WITH 40 CANDIDATES OR MORE,1174/3488,34/95,3.8937,GEITA,69,86,3,83,0,0,83,1,9,15,44,14
S1177 MAMIRE,CENTRE WITH 40 CANDIDATES OR MORE,1461/3488,62/98,3.9852,MANYARA,61,68,1,67,0,0,67,0,6,7,48,6
S1178 ARUSHA MODERN,CENTRE WITH LESS THAN 40 CANDIDATES,108/1371,12/45,3.1739,ARUSHA,18,18,0,18,0,0,18,1,4,10,3,0
S1179 ITWELELE,CENTRE WITH 40 CANDIDATES OR MORE,3056/3488,50/51,4.3554,RUKWA,60,106,3,103,0,0,103,0,3,10,47,43
S1180 MSIA,CENTRE WITH 40 CANDIDATES OR MORE,3221/3488,69/70,4.4149,SONGWE,41,75,1,74,0,0,74,0,0,9,32,33
S1181 SENGE,CENTRE WITH 40 CANDIDATES OR MORE,757/3488,13/98,3.6914,SINGIDA,103,112,3,109,0,0,109,5,16,22,60,6
S1182 ULYANKULU,CENTRE WITH 40 CANDIDATES OR MORE,1210/3488,46/98,3.9057,TABORA,135,147,1,146,0,0,146,2,13,21,99,11
S1183 SANYA JUU,CENTRE WITH 40 CANDIDATES OR MORE,2778/3488,217/270,4.2761,KILIMANJARO,52,75,0,75,0,0,75,0,3,10,39,23
S1184 MOMBASA CENTRAL SCHOOL,CENTRE WITH LESS THAN 40 CANDIDATES,698/1371,17/23,4.0301,MJINI MAGHARIBI,32,39,0,39,0,0,39,0,2,11,19,7
S1185 DAR-ES-SALAAM BAPTIST,CENTRE WITH 40 CANDIDATES OR MORE,2128/3488,135/239,4.1308,DAR ES SALAAM,82,114,3,111,2,0,109,2,4,16,60,27
S1186 MAKITA,CENTRE WITH 40 CANDIDATES OR MORE,658/3488,18/115,3.5949,RUVUMA,83,93,0,93,0,0,93,7,15,18,43,10
S1187 ST. MARY GORETI,CENTRE WITH 40 CANDIDATES OR MORE,69/3488,9/270,2.0989,KILIMANJARO,140,140,0,140,0,0,140,88,39,12,1,0
S1188 NELUKA,CENTRE WITH 40 CANDIDATES OR MORE,2458/3488,164/239,4.2008,DAR ES SALAAM,95,117,3,114,0,0,114,0,2,14,79,19
S1190 LUGUNGA,CENTRE WITH 40 CANDIDATES OR MORE,877/3488,22/95,3.7675,GEITA,65,74,1,73,0,0,73,2,10,17,36,8
S1192 MAAWAL,CENTRE WITH 40 CANDIDATES OR MORE,935/3488,37/188,3.7959,TANGA,175,190,3,187,0,0,187,2,18,51,104,12
S1193 MWITIKIRA,CENTRE WITH LESS THAN 40 CANDIDATES,1124/1371,79/94,4.3104,DODOMA,21,34,4,30,0,0,30,0,0,4,17,9
S1194 BISMARCK,CENTRE WITH 40 CANDIDATES OR MORE,324/3488,24/241,3.0519,MWANZA,61,64,3,61,0,0,61,6,15,31,9,0
S1196 KIKUYU,CENTRE WITH 40 CANDIDATES OR MORE,1752/3488,44/117,4.0486,DODOMA,101,140,3,137,0,0,137,1,13,24,63,36
S1197 GREEN ACRES,CENTRE WITH 40 CANDIDATES OR MORE,1109/3488,96/239,3.8689,DAR ES SALAAM,104,160,3,157,44,0,113,0,8,29,67,9
S1198 TANZANIA ADVENTIST,CENTRE WITH 40 CANDIDATES OR MORE,363/3488,25/173,3.1350,ARUSHA,83,86,1,85,0,0,85,4,29,36,14,2
S1199 MADABA,CENTRE WITH 40 CANDIDATES OR MORE,1942/3488,60/115,4.0919,RUVUMA,29,40,0,40,0,0,40,1,3,4,21,11
S1200 EDUCARE,CENTRE WITH 40 CANDIDATES OR MORE,665/3488,30/159,3.5999,MOROGORO,46,47,0,47,0,0,47,1,7,15,23,1
S1201 LUFILYO,CENTRE WITH 40 CANDIDATES OR MORE,893/3488,56/174,3.7745,MBEYA,107,118,3,115,0,0,115,1,11,34,61,8
S1202 MTERA,CENTRE WITH 40 CANDIDATES OR MORE,1314/3488,49/130,3.9394,IRINGA,78,85,1,84,0,0,84,0,5,17,56,6
S1203 IGANZO,CENTRE WITH 40 CANDIDATES OR MORE,1588/3488,105/174,4.0163,MBEYA,123,147,1,146,0,0,146,1,11,20,91,23
S1204 UYOLE,CENTRE WITH 40 CANDIDATES OR MORE,791/3488,46/174,3.7225,MBEYA,197,227,5,222,0,0,222,3,36,47,111,25
